name,base,ingredient1,ingredient2,ingredient3,ingredient4,top,middle,bottom
スイート,みりん,,,,,1,1,0
ラム,ホワイトラム,,,,,1,1,0
ビア,ビール,,,,,0,0,1
ピーチ,ピーチリキュール,,,,,1,1,1
サムライ,日本酒,,,,,1,1,1
ショット,テキーラ,,,,,0,1,1
ラム,ダークラム,,,,,1,1,0
ジン,ジン,,,,,1,1,0
リッツァー,白ワイン,,,,,0,1,1
酎,焼酎,,,,,1,1,1
カンパリ,カンパリ,,,,,1,1,0
カルーア,カルーア,,,,,1,1,1
カシス,カシスリキュール,,,,,1,1,1
プラム,梅酒,,,,,1,1,1
ウォッカ,ウォッカ,,,,,1,1,1
ウイスキー,ウイスキー,,,,,1,1,0
ルージュ,赤ワイン,,,,,0,1,1
ロワイヤル,スパークリングワイン,,,,,0,1,1
ソルティ,,塩,,,,1,0,0
フィズ,,炭酸水,レモンジュース,,,0,1,1
ソーダ,,炭酸水,,,,0,1,1
クーラー,,ジンジャーエール,レモンジュース,,,0,1,1
ビター,,インスタントコーヒー,,,,1,1,0
モヒート,,炭酸水,砂糖,ミント,ライムジュース,0,1,1
コーク,,コーラ,,,,0,1,1
トニック,,トニックウォーター,,,,0,1,1
リッキー,,炭酸水,ライムジュース,,,0,1,1
ミルク,,牛乳,,,,0,1,1
スコーピオン,,オレンジジュース,ライムジュース,,,0,1,1
ディアブロ,テキーラ,カシスリキュール,,,,1,1,1
ソルティドッグ,,グレープフルーツジュース,塩,,,1,1,1
ブロッサム,,オレンジジュース,,,,1,1,1
トパーズ,,ジンジャーエール,,,,1,1,1
エッグ,,卵,,,,1,1,1
ミントジュレップ,,炭酸水,砂糖,ミント,,0,1,1
ゴールド,,グレープフルーツジュース,,,,1,1,1
クレーム,,生クリーム,,,,1,1,0
コーヒー,,アイスコーヒー,,,,1,1,1
パンチ,,烏龍茶,,,,0,1,1
レモン,,レモンジュース,,,,1,1,1
ライム,,ライムジュース,,,,1,1,1
ラテ,,ホットコーヒー,,,,0,0,1
